period_type,period,method,n,rain_mm,rmse,mae,mbe
month,2024-10,et_camargo,31,78.4,0.9377048973615172,0.8994911234059183,0.8904024750973135
month,2024-10,et_hargreaves_samani,31,78.4,1.2003914237350493,1.1483924302771709,1.1483924302771709
month,2024-10,et_hargreaves_samani_corr,31,78.4,1.7109245371770987,1.67065103354596,1.67065103354596
month,2024-10,et_priestley_taylor,31,78.4,1.0871335621643083,1.0306688068282879,-1.0306688068282879
month,2024-10,et_garcia_lopez,31,78.4,1.107084804278385,1.0587250961967714,-1.0587250961967714
month,2024-10,et_makkink,31,78.4,1.1947166538946545,1.1438742496733088,-1.1438742496733088
month,2024-10,et_mccloud,31,78.4,116.05843622298525,115.47945929607785,115.47945929607785
month,2024-10,et_turc,31,78.4,0.6727195216289849,0.5818856424492774,-0.5818856424492774
month,2024-10,et_global_radiation,31,78.4,1.0668245710136504,1.009693144553773,-1.009693144553773
month,2024-10,et_ivanov,31,78.4,5.215282119753317,4.972329677533128,4.972329677533128
month,2024-10,et_jensen_heise,31,78.4,1.0213188740472585,0.9660146478271253,-0.9660146478271253
month,2024-10,et_net_radiation,31,78.4,1.086555556611468,1.0296253023700996,-1.0296253023700996
month,2024-10,et_radiation_temperature,31,78.4,1.0873895968422083,1.0314135528084725,-1.0314135528084725
month,2024-10,et_lungeon,31,78.4,0.39659492224285176,0.31389566924106704,-0.31389566924106704
month,2024-10,et_stephens_stewart,31,78.4,1.0677407563546495,1.0120234935794479,-1.0120234935794479
month,2024-10,et_hicks_hess,31,78.4,1.061239319108815,1.00930248344658,-1.00930248344658
month,2024-11,et_thornthwaite,30,114.8,4.3272541481921785,4.3197850199473935,4.3197850199473935
month,2024-11,et_thornthwaite_camargo,30,114.8,4.1118508866951915,4.09499293352122,4.09499293352122
month,2024-11,et_camargo,30,114.8,1.0938001409865057,1.0506716480653073,1.0506716480653073
month,2024-11,et_hargreaves_samani,30,114.8,1.2600529342372873,1.22410788099755,1.22410788099755
month,2024-11,et_hargreaves_samani_corr,30,114.8,1.739431259162656,1.712838163662854,1.712838163662854
month,2024-11,et_priestley_taylor,30,114.8,0.892683660629966,0.8229163209010874,-0.8229163209010874
month,2024-11,et_garcia_lopez,30,114.8,0.9268018453173392,0.8640607736198205,-0.8640607736198205
month,2024-11,et_makkink,30,114.8,0.99834536418556,0.9369700046017514,-0.9369700046017514
month,2024-11,et_mccloud,30,114.8,109.61437538412237,109.20182970123385,109.20182970123385
month,2024-11,et_turc,30,114.8,0.5090194447499572,0.40485535481636037,-0.38085307576520755
month,2024-11,et_global_radiation,30,114.8,0.8734781832051457,0.8032261382158719,-0.8032261382158719
month,2024-11,et_ivanov,30,114.8,3.987057496248683,3.829981646391837,3.829981646391837
month,2024-11,et_jensen_heise,30,114.8,0.8380612373668956,0.770497628295237,-0.770497628295237
month,2024-11,et_net_radiation,30,114.8,0.8911360300790007,0.8208464799414955,-0.8208464799414955
month,2024-11,et_radiation_temperature,30,114.8,0.894023899914657,0.8247809094176859,-0.8247809094176859
month,2024-11,et_lungeon,30,114.8,0.3725960280621956,0.2953157745013695,-0.2809501719414953
month,2024-11,et_stephens_stewart,30,114.8,0.8774490640382984,0.8087600992285704,-0.8087600992285704
month,2024-11,et_hicks_hess,30,114.8,0.8693032505673058,0.8051029684879641,-0.8051029684879641
month,2024-12,et_thornthwaite,31,303.59999999999997,4.166267906873344,4.15991411644758,4.15991411644758
month,2024-12,et_thornthwaite_camargo,31,303.59999999999997,4.436524632660773,4.42155630600707,4.42155630600707
month,2024-12,et_camargo,31,303.59999999999997,1.2839678406869968,1.2535516762456942,1.2535516762456942
month,2024-12,et_hargreaves_samani,31,303.59999999999997,1.3487559704834944,1.3159896359295757,1.3159896359295757
month,2024-12,et_hargreaves_samani_corr,31,303.59999999999997,1.7801215541454782,1.7516296313253223,1.7516296313253223
month,2024-12,et_priestley_taylor,31,303.59999999999997,0.6241770886472742,0.5220485697932946,-0.5220485697932946
month,2024-12,et_garcia_lopez,31,303.59999999999997,0.6621948415549384,0.5716004230900642,-0.5716004230900642
month,2024-12,et_makkink,31,303.59999999999997,0.7229399389402504,0.6374499879485704,-0.6374499879485704
