site,biome,climate_class,region,country,state,scale,rank,selection_rule,method,rmse,mae,mbe,r,r2,willmott_d,c,classification,rank_rmse,rank_mae,rank_mbe,rank_r,rank_r2,rank_willmott_d,rank_c
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,9,composite,et_hicks_hess,1.2430897821087492,0.8752076874818153,0.7786555635914381,0.8796955075726477,0.7738641860434983,0.8576914124723,0.754507282435521,Very Good,9,9,9,9,9,9,9
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,10,composite,et_garcia_lopez,1.3238403740345597,1.1168940984263804,-0.8633704950377019,0.8166942752207705,0.6669895391783797,0.8263761721365533,0.6748966889627771,Good,10,10,10,11,11,10,10
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,11,composite,et_hargreaves_samani,1.7225067294454874,1.499078459586735,-1.411959099866901,0.8415192642320481,0.7081546720736477,0.5917629392323619,0.4979799132226114,Bad,11,11,11,10,10,11,11
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,12,composite,et_camargo,2.3417233731745526,2.0996080039051863,-2.027676319364699,0.617568229529919,0.3813905181247187,0.4802347942668457,0.2965777516540407,Very Poor,12,12,12,15,15,12,12
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,13,composite,et_lungeon,3.033611159014605,2.789907601160366,-2.789636435931208,0.6695598739836797,0.448310424849041,0.4243428625167129,0.2841229535525642,Very Poor,13,13,13,13,13,13,13
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,14,composite,et_mccloud,71.9653446298007,69.9724510179297,69.9724510179297,0.7019553311301227,0.4927412869020001,0.0353653402729993,0.0248248891418626,Very Poor,14,14,14,12,12,14,14
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,15,composite,et_ivanov,131.23272486271597,116.71040894330292,116.70989308640848,0.661359737671093,0.4373967026123769,0.0204758997428722,0.0135419356825255,Very Poor,15,15,15,14,14,15,15
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,1,composite,et_makkink,8.50151938986197,5.885221454295823,-4.741784031861631,0.9374424759505506,0.8787983957162987,0.9518172499554944,0.8922739194507228,Excellent,1,1,2,5,5,1,1
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,2,composite,et_stephens_stewart,9.868224744744412,6.964928980852984,-6.619196862215148,0.9380660990495454,0.8799680061860315,0.9427105034272932,0.8843247644830741,Excellent,2,2,4,4,4,2,2
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,3,composite,et_turc,16.344877050270203,15.334169573850764,15.334169573850764,0.9621848308782928,0.9257996487722886,0.8590583128669752,0.8265728774805019,Very Good,5,6,7,2,2,6,3
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,4,composite,et_jensen_heise,18.71743559107184,15.584339265667664,14.357418067199816,0.9346455615856828,0.8735623257918166,0.8610807833048213,0.8048053322825744,Very Good,7,7,5,6,6,5,4
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,5,composite,et_radiation_temperature,16.389141636617794,14.79433921341243,-14.79433921341243,0.9391439360881252,0.8819913326910965,0.8457874466554226,0.7943161517458988,Very Good,6,5,6,3,3,7,5
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,6,composite,et_priestley_taylor,13.40002089131096,11.855053693218885,-1.5776413515067838,0.8602949047681773,0.7401073231700872,0.9115565712518352,0.7842074736559038,Very Good,3,3,1,11,11,3,6
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,7,composite,et_net_radiation,14.421565257411451,12.466473176452626,6.0013873331421665,0.8583035575409232,0.736684996887405,0.8953219536653254,0.7684580179754384,Very Good,4,4,3,12,12,4,7
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,8,composite,et_global_radiation,18.87159515675634,17.53245202155256,17.314249810397097,0.92929373082552,0.8635868381516141,0.8062087803077379,0.7492047652764698,Good,8,8,8,8,8,8,8
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,9,composite,et_hicks_hess,30.562819659396407,23.748994689538858,23.748994689538858,0.9343068535816834,0.8729292966497052,0.7492940564362762,0.7000705722764335,Good,9,9,9,7,7,9,9
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,10,composite,et_hargreaves_samani,44.270890908493016,43.06475254594048,-43.06475254594048,0.965977571862216,0.9331126693408228,0.4908212876136607,0.4741223556273304,Bad,11,11,11,1,1,11,10
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,11,composite,et_garcia_lopez,33.70555853083436,29.54399747487228,-26.332800098649916,0.7099540866221045,0.5040348051114266,0.6534705773204252,0.4639341068559418,Bad,10,10,10,13,13,10,11
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,12,composite,et_camargo,63.02663855914688,61.84412774062332,-61.84412774062332,0.8877360079929798,0.7880752198873119,0.3822471834242879,0.3393345886796376,Very Poor,12,12,12,9,9,12,12
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,13,composite,et_lungeon,87.25940312839641,85.08391129590187,-85.08391129590187,0.3046482259420595,0.0928105415696441,0.2681132679368631,0.0816802314284934,Very Poor,13,13,13,14,14,13,13
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,14,composite,et_mccloud,2160.452994602381,2134.159756046856,2134.159756046856,0.8671408506130568,0.7519332548019356,0.0162130399917226,0.0140589892894458,Very Poor,14,14,14,10,10,14,14
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,15,composite,et_ivanov,3700.247208678723,3559.651739135458,3559.651739135458,0.2737033625565343,0.0749135306747536,0.0092662435342421,0.0025362020135898,Very Poor,15,15,15,15,15,15,15
