date,tmed_c,tmax_c,tmin_c,rh_mean_pct,rh_max_pct,rh_min_pct,wind_mean_ms,wind_max_ms,rain_mm,rad_global_mj_m2_d,rad_net_mj_m2_d,ra_extraterrestre_mj_m2_d,et_camargo,et_garcia_lopez,et_hargreaves_samani,et_hargreaves_samani_corr,et_penman_monteith,et_priestley_taylor,et_thornthwaite,et_thornthwaite_camargo
2024-01-22,24.29,29.74,19.71,73.28,92.5,50.52,2.682,7.23,0.0,21.68,9.822925,16.7,4.166596129032259,22.93769998834273,5.12004407362924,5.34051361678027,4.52929940100197,7.688898719999998,4.028614885605275,0
2024-01-23,19.78,21.58,17.65,92.30520833333334,99.7,79.23,2.446,6.831,22.1,4.579,-1.39671,16.7,4.166596129032259,13.057770567600608,2.8615237718227364,2.9847412343322706,1.3035975226042926,1.523064363428571,4.028614885605275,0
2024-01-24,21.65,28.06,16.54,75.66843750000001,97.3,55.18,2.282,8.27,0.0,21.21,9.911596,16.7,4.166596129032259,16.686911588717443,5.143012196683465,5.364470749210974,4.639390459138619,7.248638699999999,4.028614885605275,0
2024-01-25,20.73,27.01,16.35,76.2401041666667,95.9,54.73,2.577,8.51,0.0,16.39,7.478998,16.7,4.166596129032259,14.8282769339559,4.831944290985519,5.040008232437041,3.9857758604616493,5.527705448571428,4.028614885605275,0
2024-01-26,21.19,28.83,16.02,74.75281249999999,94.4,48.02,2.482,7.39,0.0,21.54,10.9502,16.7,4.166596129032259,15.739011327359433,5.360090312696858,5.590896267781321,4.96209438950112,7.313008474285712,4.028614885605275,0
2024-01-27,22.97,30.31,16.54,74.8076,97.1,47.99,1.413,6.671,0.0,24.57,11.95601,16.7,4.166596129032259,19.63323176080973,5.8110148964254975,6.0612377033066585,5.600815273278408,8.555393339999998,4.028614885605275,0
2024-01-28,21.65,28.3,16.97,85.15917,100.0,55.14,1.0,6.112,5.842,19.74,9.768291,16.7,4.166596129032259,16.68202198444037,5.100423870745287,5.320048566253573,4.346800465707298,6.746257799999998,4.028614885605275,0
2024-01-29,22.07,29.79,16.54,88.60572916666666,100.0,51.79,1.07,8.67,7.874,17.5,7.982025,16.7,4.166596129032259,17.58053524315111,5.574404530590223,5.8144388745381885,4.980782753619265,6.016635,4.028614885605275,0
2024-01-30,25.44,33.28,17.93,72.35114583333335,100.0,33.24,1.078,5.553,0.254,26.87,14.90565,16.7,4.166596129032259,26.134139184061908,6.50705057683297,6.787244740653541,6.268285069833831,9.680523994285712,4.028614885605275,0
2024-01-31,23.47,33.72,18.7,81.5977083333333,99.0,34.81,1.222,8.43,1.524,18.22,9.480793,16.7,4.166596129032259,20.83682167792386,6.143470007399759,6.4080083602763604,5.708076526766948,6.388801354285714,4.028614885605275,0
