period_type,period,method,n,rain_mm,rmse,mae,mbe
month,2024-06,et_garcia_lopez,30,0.762,9.862973821030593,9.574934316796204,9.574934316796204
month,2024-07,et_thornthwaite,31,31.246000000000006,2.7650132147007267,2.566232171296611,-2.5237028552406313
month,2024-07,et_thornthwaite_camargo,31,31.246000000000006,3.881736494770904,3.7137119219072945,-3.7137119219072945
month,2024-07,et_camargo,31,31.246000000000006,2.1674077073697773,2.0020851375502,-1.8497119219072953
month,2024-07,et_hargreaves_samani,31,31.246000000000006,0.7431358285689074,0.6494145761958469,-0.49561490376613515
month,2024-07,et_hargreaves_samani_corr,31,31.246000000000006,0.6421603758354951,0.5658600418747618,-0.35704336625544997
month,2024-07,et_priestley_taylor,31,31.246000000000006,0.6746075138528066,0.5321445396367419,0.46871465284846514
month,2024-07,et_garcia_lopez,31,31.246000000000006,8.038287196421695,7.677697425382865,7.677697425382865
month,2024-08,et_thornthwaite,31,39.11000000000001,3.419796566441485,3.1775523246230217,-3.1282527276445355
month,2024-08,et_thornthwaite_camargo,31,39.11000000000001,5.176934585907455,4.989149053589729,-4.989149053589729
month,2024-08,et_camargo,31,39.11000000000001,3.0309615700307333,2.791064883361051,-2.6977184084284396
month,2024-08,et_hargreaves_samani,31,39.11000000000001,0.9658574105302048,0.8576342256200185,-0.7497200710424073
month,2024-08,et_hargreaves_samani_corr,31,39.11000000000001,0.8114505316855679,0.7003853270540273,-0.5671698903091138
month,2024-08,et_priestley_taylor,31,39.11000000000001,1.2295313310426683,0.9541618061692025,0.6291939315899939
month,2024-08,et_garcia_lopez,31,39.11000000000001,10.999317157901089,9.548010643592116,9.548010643592116
month,2024-09,et_thornthwaite,30,6.3500000000000005,2.8184030456946676,2.549084411501331,-2.3522085746930093
month,2024-09,et_thornthwaite_camargo,30,6.3500000000000005,6.518892358046718,6.331306897211528,-6.331306897211528
month,2024-09,et_camargo,30,6.3500000000000005,3.3616113110505594,3.1365135125186137,-2.9815968972115265
month,2024-09,et_hargreaves_samani,30,6.3500000000000005,1.070371678518925,0.8709638169938341,-0.7614994673417314
month,2024-09,et_hargreaves_samani_corr,30,6.3500000000000005,0.895607878502328,0.6911606790761354,-0.5216630749506427
month,2024-09,et_priestley_taylor,30,6.3500000000000005,0.9591467160950043,0.6934356664775537,0.4225194572456159
month,2024-09,et_garcia_lopez,30,6.3500000000000005,19.861329699413123,18.88030459946823,18.88030459946823
month,2024-10,et_thornthwaite,31,82.298,2.4050510119657598,2.0255149509774184,-1.853131680184162
month,2024-10,et_thornthwaite_camargo,31,82.298,5.744884421493759,5.5365624416479156,-5.5365624416479156
month,2024-10,et_camargo,31,82.298,2.411087669434602,2.0318277398789886,-1.860959538422109
month,2024-10,et_hargreaves_samani,31,82.298,0.7065765893167343,0.6076112943409159,-0.04999442733495485
month,2024-10,et_hargreaves_samani_corr,31,82.298,0.7005184236985258,0.5676872181552867,0.18625766858210638
month,2024-10,et_priestley_taylor,31,82.298,1.7912011624095308,1.5104302058433703,1.3206579644165994
month,2024-10,et_garcia_lopez,31,82.298,17.9634762074334,17.22734758915121,17.22734758915121
month,2024-11,et_thornthwaite,30,251.466,2.1350637591964072,1.826446142152165,-1.3444789274326177
month,2024-11,et_thornthwaite_camargo,30,251.466,5.137851134910617,4.86278116050669,-4.86278116050669
month,2024-11,et_camargo,30,251.466,1.9572472706151938,1.6826251294637398,-1.0392031605066905
month,2024-11,et_hargreaves_samani,30,251.466,0.7393550634184096,0.6094884825518929,0.33909409872745366
month,2024-11,et_hargreaves_samani_corr,30,251.466,0.8360389299196043,0.649238257862528,0.563087299848294
month,2024-11,et_priestley_taylor,30,251.466,2.8721458410783134,2.464340298832383,2.4338658530075947
month,2024-11,et_garcia_lopez,30,251.466,17.156317696175662,16.68252261397113,16.68252261397113
month,2024-12,et_thornthwaite,31,225.302,1.7790826972888227,1.5506363556922294,-1.1455521315194535
month,2024-12,et_thornthwaite_camargo,31,225.302,5.13638190480775,4.952733943416785,-4.952733943416785
