method,eto_column,variable,column,perturbation_pct,baseline_mean_eto_mm_d,perturbed_mean_eto_mm_d,delta_mean_eto_mm_d,relative_delta_pct,n,status
turc,et_turc,radiacao_global,rad_global_mj_m2_d,-40,0.5419116504456195,0.49610900557046406,-0.04580264487515545,-8.452050225805529,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,-30,0.5419116504456195,0.5075596667892528,-0.034351983656366714,-6.33903766935417,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,-20,0.5419116504456195,0.5190103280080418,-0.022901322437577698,-4.226025112902759,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,-10,0.5419116504456195,0.5304609892268307,-0.011450661218788794,-2.1130125564513693,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,0,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,10,0.5419116504456195,0.5533623116644085,0.011450661218789016,2.11301255645141,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,20,0.5419116504456195,0.5648129728831973,0.02290132243757781,4.2260251129027795,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,30,0.5419116504456195,0.5762636341019862,0.034351983656366714,6.33903766935417,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,40,0.5419116504456195,0.587714295320775,0.04580264487515551,8.45205022580554,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,50,0.5419116504456195,0.599164956539564,0.05725330609394452,10.56506278225695,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,-50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,-40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,-30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,-20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,-10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,0,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_liquida,rad_net_mj_m2_d,50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
